date,open,high,low,close,adjusted close,volume
19/7/1967,550.469971,550.469971,550.469971,550.469971,550.469971,0
20/7/1967,551.309998,551.309998,551.309998,551.309998,551.309998,0
21/7/1967,551.73999,551.73999,551.73999,551.73999,551.73999,0
24/7/1967,549.830017,549.830017,549.830017,549.830017,549.830017,0
25/7/1967,549.830017,549.830017,549.830017,549.830017,549.830017,0
26/7/1967,552.159973,552.159973,552.159973,552.159973,552.159973,0
27/7/1967,554.059998,554.059998,554.059998,554.059998,554.059998,0
28/7/1967,555.119995,555.119995,555.119995,555.119995,555.119995,0
31/7/1967,556.710022,556.710022,556.710022,556.710022,556.710022,0
1/8/1967,560.090027,560.090027,560.090027,560.090027,560.090027,0
2/8/1967,562.099976,562.099976,562.099976,562.099976,562.099976,0
3/8/1967,561.359985,561.359985,561.359985,561.359985,561.359985,0
4/8/1967,562.72998,562.72998,562.72998,562.72998,562.72998,0
7/8/1967,561.25,561.25,561.25,561.25,561.25,0
8/8/1967,561.780029,561.780029,561.780029,561.780029,561.780029,0
9/8/1967,562.419983,562.419983,562.419983,562.419983,562.419983,0
10/8/1967,560.940002,560.940002,560.940002,560.940002,560.940002,0
11/8/1967,558.400024,558.400024,558.400024,558.400024,558.400024,0
14/8/1967,555.119995,555.119995,555.119995,555.119995,555.119995,0
15/8/1967,555.76001,555.76001,555.76001,555.76001,555.76001,0
16/8/1967,554.48999,554.48999,554.48999,554.48999,554.48999,0
17/8/1967,555.22998,555.22998,555.22998,555.22998,555.22998,0
